interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_flow;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapDensity;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;wizard_example;0;1.31;2;54;55.85;-319899823#7;0;0;1.31;56;0.67;1.46;6.59;368.09;11.41;0.82;46.82;5.94;0.00
0.00;3600.00;wizard_example;1;0.99;1;43;43.88;-319899823#8;0;0;0.99;43;0.49;1.11;3.71;162.64;12.38;0.89;17.78;3.32;0.00
0.00;3600.00;wizard_example;0;1.00;5;34;38.07;-319899823#9;0;0;1.00;39;0.52;1.20;3.11;118.73;10.43;0.75;24.85;2.58;0.00
0.00;3600.00;wizard_example;0;8.72;1;127;127.54;-319899824#0;0;0;8.72;128;4.42;11.19;3.48;444.19;4.61;0.33;264.89;2.71;104.00
0.00;3600.00;wizard_example;0;2.85;2;71;72.43;-319899824#1;0;0;2.85;73;1.49;3.90;3.45;250.06;6.62;0.48;84.02;2.53;0.00
0.00;3600.00;wizard_example;0;1.27;0;42;42.00;-319899824#3;0;0;1.27;42;0.69;2.08;1.86;78.31;8.29;0.60;20.20;1.14;0.00
0.00;3600.00;wizard_example;0;1.80;1;74;73.63;-319899824#4;0;0;1.80;73;0.93;2.04;5.89;433.23;10.87;0.78;85.17;5.20;2.00
0.00;3600.00;wizard_example;0;1.56;1;72;72.98;-319899824#5;0;0;1.56;73;0.78;1.60;16.40;1196.50;12.99;0.94;85.69;16.00;0.00
0.00;3600.00;wizard_example;0;5.59;1;35;35.08;-319899826;0;0;5.59;33;2.80;5.64;99.30;3477.73;1.77;0.13;3020.42;98.17;2645.00
0.00;3600.00;wizard_example;0;0.82;1;36;36.92;-319899827;0;0;0.82;37;0.41;0.89;5.30;195.52;12.52;0.90;17.54;4.90;0.00
0.00;3600.00;wizard_example;1;40.50;1;235;235.94;-319899828#0;0;0;40.50;235;20.35;41.17;57.56;13581.79;1.68;0.12;11925.44;56.63;9619.00
0.00;3600.00;wizard_example;0;10.99;1;290;289.98;-319899828#1;0;0;10.99;291;17.06;133.33;2.14;621.76;2.43;0.18;502.91;0.03;401.00
0.00;3600.00;wizard_example;0;37.27;1;247;246.61;-319899828#2;0;0;37.27;245;19.00;40.52;23.04;5677.61;1.91;0.14;4900.04;21.18;4141.00
0.00;3600.00;wizard_example;0;39.29;2;260;256.29;-319899828#3;0;0;39.29;257;20.25;41.99;25.30;6476.26;1.89;0.14;5589.80;23.64;5014.00
0.00;3600.00;wizard_example;0;33.13;1;137;133.35;-319899828#4;0;0;33.13;132;15.82;33.48;42.30;5627.15;1.22;0.09;5135.32;41.76;4825.00
0.00;3600.00;wizard_example;0;2.70;0;78;77.32;-319899828#5;0;0;2.70;72;1.35;2.75;22.58;1742.06;8.02;0.58;756.94;22.11;617.00
0.00;3600.00;wizard_example;0;1.27;4;55;57.47;-319899828#6;0;0;1.27;57;0.63;1.30;17.21;988.97;12.59;0.91;108.64;16.80;0.00
0.00;3600.00;wizard_example;0;0.80;3;27;29.42;-319899829#0;0;0;0.80;29;0.41;0.87;10.52;309.22;9.90;0.71;90.65;9.76;4.00
0.00;3600.00;wizard_example;0;0.57;1;17;17.74;-319899829#1;0;0;0.57;18;0.30;0.76;2.99;53.15;8.18;0.59;14.34;2.24;0.00
