tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
80.00;27191050#3_1;46.82;17.24;6.00;0.71;-354298464#2_0;5.10;0.00;tripinfo_veh109 routing_veh109;74.00;veh109;1;989.98;0.96;0.00;18.99;veh_passenger;;0;0.00
97.00;1209159763#6_0;74.72;25.84;48.00;0.47;1214724117#0_0;0.20;0.00;tripinfo_veh979 routing_veh979;49.00;veh979;1;675.10;0.97;0.00;9.94;veh_passenger;;0;0.00
99.00;-1050556373_0;23.11;11.43;33.00;0.43;-131709941#16_0;5.10;0.00;tripinfo_veh671 routing_veh671;66.00;veh671;1;798.63;1.14;0.00;13.11;veh_passenger;;0;0.00
107.00;184750310#4_0;55.36;15.02;8.00;0.14;-1215282662_0;5.10;12.88;tripinfo_veh162 routing_veh162;99.00;veh162;1;1068.13;0.99;0.00;19.24;veh_passenger;;0;0.00
108.00;221615241#2_0;23.39;13.28;28.00;0.28;1042135581_0;5.10;0.00;tripinfo_veh571 routing_veh571;80.00;veh571;1;1110.38;1.03;0.00;17.83;veh_passenger;;0;0.00
113.00;319423444#4_0;80.35;10.31;28.00;0.62;-1046958047#1_0;5.10;11.58;tripinfo_veh564 routing_veh564;85.00;veh564;1;889.95;0.83;0.00;9.80;veh_passenger;;0;0.00
115.00;1369422629#1_0;15.61;10.69;48.00;0.62;-1218978435_0;5.10;11.84;tripinfo_veh976 routing_veh976;67.00;veh976;1;625.24;0.85;0.00;10.74;veh_passenger;;0;0.00
120.00;1216159294#4_0;31.43;11.68;1.00;0.22;199043536#3_0;5.10;0.00;tripinfo_veh16 routing_veh16;119.00;veh16;1;1359.66;0.88;0.00;27.81;veh_passenger;;0;0.00
138.00;1084005681#1_0;80.65;11.74;68.00;1.01;902985184#0_0;5.10;0.00;tripinfo_veh1380 routing_veh1380;70.00;veh1380;1;771.57;0.87;0.00;24.83;veh_passenger;;1;5.00
142.00;1391568185_0;22.52;12.28;13.00;0.28;-1050950557#1_0;5.10;12.68;tripinfo_veh262 routing_veh262;129.00;veh262;1;2277.15;1.04;0.00;26.17;veh_passenger;;0;0.00
144.00;585612364#0_0;0.20;5.09;23.00;0.62;-78594930#0_0;5.10;0.00;tripinfo_veh461 routing_veh461;121.00;veh461;1;2167.08;0.92;0.00;26.38;veh_passenger;;0;0.00
155.00;27191050#6_0;79.77;29.68;25.00;0.10;1084985553#0_0;5.10;0.00;tripinfo_veh513 routing_veh513;130.00;veh513;1;1877.35;1.07;0.00;35.98;veh_passenger;;0;0.00
156.00;-158366236#32_1;91.41;19.02;78.00;0.57;-1044462489#0_0;5.10;0.00;tripinfo_veh1595 routing_veh1595;78.00;veh1595;1;1509.35;0.97;0.00;19.26;veh_passenger;;1;1.00
160.00;321397536#3_0;117.90;13.57;26.00;0.46;1218447421#1_0;5.10;0.00;tripinfo_veh526 routing_veh526;134.00;veh526;1;1405.43;0.99;0.00;26.15;veh_passenger;;0;0.00
165.00;1042192060#1_0;10.88;10.04;55.00;0.63;-325440943#3_0;5.10;14.22;tripinfo_veh1120 routing_veh1120;110.00;veh1120;1;1162.20;1.02;0.00;38.35;veh_passenger;;0;0.00
166.00;1215015579_0;54.94;13.21;43.00;0.13;-1042208481_0;5.10;2.65;tripinfo_veh883 routing_veh883;123.00;veh883;1;1088.10;0.95;0.00;22.03;veh_passenger;;0;0.00
168.00;-1095350372#0_0;77.81;13.20;33.00;0.04;1050015294#2_0;5.10;0.00;tripinfo_veh679 routing_veh679;135.00;veh679;1;1578.79;0.99;0.00;21.09;veh_passenger;;0;0.00
171.00;-924066824#2_0;80.96;13.57;12.00;0.20;-1202905642_0;5.10;13.75;tripinfo_veh243 routing_veh243;159.00;veh243;1;2202.01;0.99;0.00;41.81;veh_passenger;;2;8.00
174.00;1383726010_0;47.63;11.86;30.00;0.63;-1381895914#1_0;5.10;12.77;tripinfo_veh605 routing_veh605;144.00;veh605;1;1591.32;0.92;0.00;19.63;veh_passenger;;0;0.00
179.00;1381084653#4_0;264.43;11.81;31.00;0.95;695574108#2_0;5.10;0.00;tripinfo_veh619 routing_veh619;148.00;veh619;1;1566.41;0.90;0.00;23.38;veh_passenger;;0;0.00
181.00;-158366236#34_1;64.88;28.48;34.00;0.26;-1044570810#1_0;5.10;14.75;tripinfo_veh695 routing_veh695;147.00;veh695;1;3182.75;1.06;0.00;22.48;veh_passenger;;0;0.00
187.00;-1046908819#0_0;28.94;12.45;96.00;0.41;-1057796822#0_0;5.10;0.00;tripinfo_veh1969 routing_veh1969;91.00;veh1969;1;1142.34;0.95;0.00;14.16;veh_passenger;;0;0.00
189.00;-1042171936#1_0;31.98;12.21;89.00;0.45;-1053907521#1_0;5.10;13.29;tripinfo_veh1824 routing_veh1824;100.00;veh1824;1;1134.43;0.96;0.00;11.58;veh_passenger;;0;0.00
189.00;321304377#7_0;36.31;6.12;114.00;0.89;902523963#2_0;0.20;0.00;tripinfo_veh2330 routing_veh2330;75.00;veh2330;1;1023.08;1.01;0.00;19.62;veh_passenger;;0;0.00
194.00;569543235#12_0;40.13;10.42;41.00;0.12;-1071860473_0;5.10;10.93;tripinfo_veh842 routing_veh842;153.00;veh842;1;2557.09;0.79;0.00;18.51;veh_passenger;;0;0.00
195.00;-1071872413#1_0;128.77;13.94;16.00;0.22;-1071865158#0_0;5.10;0.00;tripinfo_veh325 routing_veh325;179.00;veh325;1;3318.33;1.01;0.00;25.18;veh_passenger;;0;0.00
195.00;684343791#0_0;105.81;10.98;19.00;0.55;-1391551125#1_0;5.10;11.83;tripinfo_veh380 routing_veh380;176.00;veh380;1;3234.10;0.85;0.00;16.00;veh_passenger;;0;0.00
197.00;-379260345#7_0;15.90;8.04;11.00;0.37;1042896337#0_0;5.10;0.00;tripinfo_veh219 routing_veh219;186.00;veh219;1;2679.80;0.91;0.00;23.78;veh_passenger;;1;4.00
198.00;849848482#1_0;59.68;13.45;12.00;0.74;172366588#7_1;5.10;0.00;tripinfo_veh232 routing_veh232;186.00;veh232;1;3538.48;0.97;0.00;27.61;veh_passenger;;0;0.00
200.00;321399398#4_0;10.94;12.07;48.00;0.42;-260126083#1_0;5.10;2.57;tripinfo_veh980 routing_veh980;152.00;veh980;1;1837.44;0.92;0.00;31.51;veh_passenger;;1;3.00
202.00;-1042192054#1_0;82.43;13.55;10.00;0.10;1047637760_0;5.10;0.00;tripinfo_veh204 routing_veh204;192.00;veh204;1;2648.56;1.07;0.00;72.46;veh_passenger;;1;5.00
205.00;1380681299_0;320.17;13.72;115.00;0.87;44770274#3_1;5.10;0.00;tripinfo_veh2351 routing_veh2351;90.00;veh2351;1;1062.82;1.00;0.00;22.68;veh_passenger;;0;0.00
207.00;-858852306#2_0;64.81;14.40;47.00;0.15;1366114241_0;5.10;0.00;tripinfo_veh965 routing_veh965;160.00;veh965;1;2537.19;1.05;0.00;43.80;veh_passenger;;1;12.00
207.00;-446754553#7_0;23.61;12.26;126.00;0.75;-1054260677#0_0;5.10;0.00;tripinfo_veh2580 routing_veh2580;81.00;veh2580;1;746.73;0.89;0.00;22.68;veh_passenger;;1;4.00
208.00;315595435#21_0;81.02;18.29;8.00;0.18;221615232#1_0;5.10;0.00;tripinfo_veh161 routing_veh161;200.00;veh161;1;3868.12;1.08;0.00;50.89;veh_passenger;;0;0.00
211.00;1092185213_0;181.57;13.82;129.00;0.30;1358318481_0;5.10;14.49;tripinfo_veh2651 routing_veh2651;82.00;veh2651;1;954.02;1.04;0.00;13.30;veh_passenger;;0;0.00
212.00;898458124#0_0;62.66;14.29;61.00;0.56;-1386544612#2_0;5.10;15.21;tripinfo_veh1245 routing_veh1245;151.00;veh1245;1;1780.36;1.10;0.00;37.31;veh_passenger;;1;4.00
213.00;849845955#1_0;58.08;15.19;35.00;0.14;1054401202_0;5.10;0.00;tripinfo_veh718 routing_veh718;178.00;veh718;1;3504.04;1.14;0.00;29.08;veh_passenger;;0;0.00
214.00;1053907523_0;37.02;13.36;30.00;0.97;-355212036#11_0;5.10;0.00;tripinfo_veh598 routing_veh598;184.00;veh598;1;2998.75;1.11;0.00;53.35;veh_passenger;;1;4.00
216.00;548937830#0_0;29.79;13.79;142.00;3.30;548937819_0;5.10;0.00;tripinfo_veh2857 routing_veh2857;74.00;veh2857;1;691.49;1.11;0.00;27.79;veh_passenger;;1;13.00
218.00;1388932827_0;49.89;15.84;12.00;0.79;-1383245449#0_0;5.10;0.00;tripinfo_veh231 routing_veh231;206.00;veh231;1;4274.75;1.14;0.00;43.48;veh_passenger;;0;0.00
218.00;-1212737393_0;70.53;16.19;70.00;0.09;313817439#3_0;5.10;0.00;tripinfo_veh1440 routing_veh1440;148.00;veh1440;1;2107.92;1.17;0.00;37.49;veh_passenger;;0;0.00
220.00;630853831#1_0;37.37;13.33;138.00;0.90;-1055131831#1_0;5.10;14.33;tripinfo_veh2824 routing_veh2824;82.00;veh2824;1;1200.61;1.03;0.00;13.97;veh_passenger;;0;0.00
221.00;-132062636#3_0;56.95;13.25;73.00;0.67;-1391535803_0;5.10;14.05;tripinfo_veh1490 routing_veh1490;148.00;veh1490;1;2605.88;1.01;0.00;24.25;veh_passenger;;0;0.00
221.00;-569543235#11_0;96.72;13.71;84.00;0.16;1042419276_0;5.10;0.00;tripinfo_veh1727 routing_veh1727;137.00;veh1727;1;2658.45;1.07;0.00;25.52;veh_passenger;;0;0.00
222.00;27189538#0_0;121.24;20.80;82.00;0.78;163371017#1_0;5.10;0.00;tripinfo_veh1673 routing_veh1673;140.00;veh1673;1;2159.40;0.95;0.00;32.80;veh_passenger;;0;0.00
223.00;1085504231#1_0;22.29;15.28;48.00;0.08;-1386036112_0;5.10;15.45;tripinfo_veh987 routing_veh987;175.00;veh987;1;3000.76;1.11;0.00;29.64;veh_passenger;;0;0.00
224.00;-188038434#1_0;76.83;18.92;108.00;0.91;-804483255#1_0;5.10;15.10;tripinfo_veh2206 routing_veh2206;116.00;veh2206;1;2428.82;1.09;0.00;8.61;veh_passenger;;0;0.00
224.00;1049113088_0;163.13;13.23;132.00;0.73;260126093#0_0;5.10;14.51;tripinfo_veh2704 routing_veh2704;92.00;veh2704;1;1525.31;1.04;0.00;11.27;veh_passenger;;0;0.00
225.00;-158370288#20_0;96.09;19.89;84.00;0.21;1043813744_0;5.10;0.00;tripinfo_veh1726 routing_veh1726;141.00;veh1726;1;2153.26;1.16;0.00;32.66;veh_passenger;;0;0.00
225.00;355391701#2_0;158.88;14.26;157.00;0.87;-318725571#0_0;5.10;0.00;tripinfo_veh3216 routing_veh3216;68.00;veh3216;1;940.73;1.08;0.00;16.46;veh_passenger;;0;0.00
227.00;1044700297#1_0;15.04;10.40;20.00;0.97;1384538927_0;5.10;0.00;tripinfo_veh392 routing_veh392;207.00;veh392;1;3075.44;1.00;0.00;46.60;veh_passenger;;1;2.00
229.00;988553239_0;742.11;13.74;25.00;0.24;-1370252434_0;5.10;13.97;tripinfo_veh510 routing_veh510;204.00;veh510;1;2913.91;1.01;0.00;27.90;veh_passenger;;0;0.00
229.00;-1379642418#1_0;223.12;12.71;71.00;0.95;518504798_0;5.10;13.19;tripinfo_veh1443 routing_veh1443;158.00;veh1443;1;2167.41;0.95;0.00;38.23;veh_passenger;;0;0.00
229.00;1044514929_0;91.58;13.79;106.00;0.90;1044514918_0;5.10;0.00;tripinfo_veh2165 routing_veh2165;123.00;veh2165;1;1350.90;1.07;0.00;34.31;veh_passenger;;1;2.00
230.00;-569569894_0;39.47;16.82;91.00;0.66;1216923851_0;5.10;17.84;tripinfo_veh1861 routing_veh1861;139.00;veh1861;1;2113.36;1.28;0.00;18.10;veh_passenger;;0;0.00
232.00;1085586817#1_0;38.16;13.13;130.00;0.38;-132071724#2_0;3.95;6.66;tripinfo_veh2670 routing_veh2670;102.00;veh2670;1;1278.24;1.02;0.00;24.89;veh_passenger;;0;0.00
234.00;-158366236#19_1;104.42;28.49;1.00;0.81;-1043559070_0;5.10;14.31;tripinfo_veh4 routing_veh4;233.00;veh4;1;5466.56;1.03;0.00;34.79;veh_passenger;;0;0.00
235.00;158355511#1_0;92.79;14.21;119.00;0.89;1055092055#1_0;5.10;0.00;tripinfo_veh2433 routing_veh2433;116.00;veh2433;1;1712.25;1.07;0.00;18.62;veh_passenger;;0;0.00
237.00;1218451457_0;54.48;14.64;11.00;0.66;27189529#0_0;5.10;0.00;tripinfo_veh213 routing_veh213;226.00;veh213;1;5416.10;1.10;0.00;27.28;veh_passenger;;0;0.00
239.00;556414776#2_0;25.55;11.28;47.00;0.30;231770256#7_0;5.10;0.00;tripinfo_veh962 routing_veh962;192.00;veh962;1;2338.53;0.85;0.00;24.60;veh_passenger;;0;0.00
240.00;355391677#2_0;74.02;14.91;23.00;0.67;-1042966484#1_0;5.10;15.62;tripinfo_veh460 routing_veh460;217.00;veh460;1;4617.44;1.12;0.00;29.25;veh_passenger;;0;0.00
244.00;1383686365_0;189.91;13.85;37.00;0.10;-1369591041_0;5.10;0.00;tripinfo_veh760 routing_veh760;207.00;veh760;1;3451.93;1.05;0.00;48.19;veh_passenger;;1;4.00
244.00;1387175153#2_0;42.84;14.77;77.00;0.68;-1383716084#2_0;5.10;10.30;tripinfo_veh1572 routing_veh1572;167.00;veh1572;1;1767.93;1.10;0.00;72.72;veh_passenger;;2;32.00
245.00;-354991437#6_0;24.62;13.17;48.00;0.04;-1383735619#1_0;5.10;13.59;tripinfo_veh988 routing_veh988;197.00;veh988;1;3616.99;0.98;0.00;35.83;veh_passenger;;0;0.00
245.00;322244181_0;8.39;7.55;86.00;0.85;132070870#0_0;5.10;0.00;tripinfo_veh1754 routing_veh1754;159.00;veh1754;1;2978.44;1.06;0.00;38.37;veh_passenger;;1;2.00
246.00;1071869401_0;101.31;13.65;11.00;0.42;1226409522#0_0;5.10;14.82;tripinfo_veh218 routing_veh218;235.00;veh218;1;4174.30;1.07;0.00;32.54;veh_passenger;;0;0.00
249.00;1088071535#4_1;183.47;23.57;103.00;0.42;-1044804360_0;5.10;15.45;tripinfo_veh2113 routing_veh2113;146.00;veh2113;1;1020.15;1.11;0.00;83.76;veh_passenger;;2;55.00
250.00;-1084985577_0;40.72;15.40;17.00;0.54;-320044849#3_0;5.10;0.00;tripinfo_veh339 routing_veh339;233.00;veh339;1;3904.20;1.17;0.00;42.78;veh_passenger;;0;0.00
250.00;-1096889858#1_0;86.79;11.68;89.00;0.99;-131709941#3_0;5.10;0.00;tripinfo_veh1813 routing_veh1813;161.00;veh1813;1;2013.96;0.90;0.00;27.48;veh_passenger;;0;0.00
250.00;-1218993695#0_0;111.70;13.18;134.00;0.93;-1107337363#1_0;5.10;13.62;tripinfo_veh2741 routing_veh2741;116.00;veh2741;1;1657.31;0.98;0.00;16.62;veh_passenger;;0;0.00
252.00;-1053937973#1_0;53.72;14.86;156.00;0.46;-1369859094#2_0;5.10;0.00;tripinfo_veh3204 routing_veh3204;96.00;veh3204;1;1565.41;1.11;0.00;26.66;veh_passenger;;0;0.00
253.00;1217034090#1_0;2.40;6.18;97.00;0.44;-218857109#11_0;5.10;0.00;tripinfo_veh1989 routing_veh1989;156.00;veh1989;1;2543.97;0.86;0.00;31.21;veh_passenger;;0;0.00
254.00;-310880285#9_0;85.01;16.73;19.00;0.80;851490769#3_1;5.10;0.00;tripinfo_veh375 routing_veh375;235.00;veh375;1;4187.76;0.81;0.00;33.56;veh_passenger;;0;0.00
255.00;1054260936#1_0;38.03;13.49;30.00;0.78;-1369420166_0;5.10;14.56;tripinfo_veh602 routing_veh602;225.00;veh602;1;3484.67;1.05;0.00;37.37;veh_passenger;;0;0.00
256.00;-1046564426_0;109.39;11.56;67.00;0.73;239456229#2_0;4.33;0.00;tripinfo_veh1365 routing_veh1365;189.00;veh1365;1;3055.08;0.92;0.00;24.55;veh_passenger;;1;1.00
256.00;-354997503#1_0;85.21;11.93;153.00;0.32;-1232123841#3_0;5.10;0.00;tripinfo_veh3145 routing_veh3145;103.00;veh3145;1;1412.99;0.89;0.00;21.57;veh_passenger;;0;0.00
258.00;1468423148#3_0;112.47;12.98;174.00;0.79;-176071088#1_0;5.10;11.98;tripinfo_veh3568 routing_veh3568;84.00;veh3568;1;716.85;0.97;0.00;15.15;veh_passenger;;0;0.00
260.00;-354997517#6_0;11.69;15.65;2.00;0.20;-78594910#4_0;5.10;0.00;tripinfo_veh37 routing_veh37;258.00;veh37;1;4154.02;1.18;0.00;99.04;veh_passenger;;2;20.00
261.00;630852398#5_0;22.15;19.21;16.00;0.03;1055120459#2_0;5.10;0.00;tripinfo_veh329 routing_veh329;245.00;veh329;1;4105.82;0.90;0.00;24.74;veh_passenger;;0;0.00
261.00;1125184856_0;48.66;12.65;45.00;0.53;-1046397070#0_0;5.10;0.00;tripinfo_veh916 routing_veh916;216.00;veh916;1;3042.29;0.91;0.00;37.72;veh_passenger;;0;0.00
262.00;1085301161_0;139.63;14.08;38.00;0.91;-131937275#1_0;5.10;0.00;tripinfo_veh764 routing_veh764;224.00;veh764;1;3097.75;1.06;0.00;44.00;veh_passenger;;0;0.00
263.00;1219040552#0_0;389.36;14.11;103.00;0.52;-1218994300_0;5.10;14.67;tripinfo_veh2111 routing_veh2111;160.00;veh2111;1;2504.03;1.06;0.00;21.83;veh_passenger;;1;1.00
264.00;-260126090#0_0;17.80;14.37;21.00;0.27;-27191048#4_0;5.10;0.00;tripinfo_veh427 routing_veh427;243.00;veh427;1;4924.40;1.05;0.00;44.42;veh_passenger;;0;0.00
264.00;28069359#5_0;118.32;21.31;24.00;0.89;585630240#2_0;5.10;0.00;tripinfo_veh476 routing_veh476;240.00;veh476;1;3601.37;0.98;0.00;48.95;veh_passenger;;0;0.00
264.00;1044700291_0;62.16;13.93;87.00;0.30;548937843#0_0;5.10;0.00;tripinfo_veh1786 routing_veh1786;177.00;veh1786;1;2214.24;1.07;0.00;35.15;veh_passenger;;1;6.00
265.00;1044514935#0_0;218.01;11.48;2.00;0.74;-1055120472_0;5.10;12.74;tripinfo_veh26 routing_veh26;263.00;veh26;1;4082.05;0.92;0.00;71.61;veh_passenger;;2;25.00
265.00;315595435#0_0;107.58;19.99;24.00;0.26;-1041987274_0;5.10;13.11;tripinfo_veh489 routing_veh489;241.00;veh489;1;4412.50;0.94;0.00;43.50;veh_passenger;;0;0.00
266.00;988553257_0;132.52;14.98;6.00;0.13;988530923#0_0;5.10;0.00;tripinfo_veh121 routing_veh121;260.00;veh121;1;3677.39;1.10;0.00;22.10;veh_passenger;;0;0.00
266.00;1220468793_0;27.76;12.36;79.00;0.31;1071867091#0_0;5.10;15.09;tripinfo_veh1621 routing_veh1621;187.00;veh1621;1;3092.42;1.09;0.00;31.94;veh_passenger;;0;0.00
268.00;-1085751094#1_0;40.12;14.05;45.00;0.68;221616962#1_0;5.10;0.00;tripinfo_veh913 routing_veh913;223.00;veh913;1;2179.53;1.06;0.00;80.50;veh_passenger;;2;17.00
269.00;-1084027868#1_0;21.20;13.59;21.00;0.85;-1061113475#0_0;5.10;0.00;tripinfo_veh415 routing_veh415;248.00;veh415;1;4727.65;1.07;0.00;42.10;veh_passenger;;1;1.00
269.00;-427760258#0_0;17.46;9.69;62.00;0.35;1041999194#5_0;5.10;0.00;tripinfo_veh1270 routing_veh1270;207.00;veh1270;1;3272.75;1.05;0.00;42.93;veh_passenger;;1;2.00
270.00;1043565881#1_0;146.63;13.23;2.00;0.98;1044270618#1_0;5.10;0.00;tripinfo_veh21 routing_veh21;268.00;veh21;1;5150.85;1.01;0.00;35.59;veh_passenger;;0;0.00
271.00;-1049877275_0;57.13;14.58;27.00;0.06;1050973560#1_0;5.10;0.00;tripinfo_veh555 routing_veh555;244.00;veh555;1;4949.12;1.13;0.00;39.63;veh_passenger;;0;0.00
272.00;902523968#2_0;64.47;4.69;14.00;0.80;1216993031_0;5.10;14.60;tripinfo_veh272 routing_veh272;258.00;veh272;1;3738.82;1.05;0.00;57.59;veh_passenger;;1;5.00
272.00;321304376#4_0;36.46;11.56;25.00;0.68;132363057#2_0;5.10;0.00;tripinfo_veh501 routing_veh501;247.00;veh501;1;3335.72;0.92;0.00;44.11;veh_passenger;;1;3.00
272.00;-310880928#5_0;38.61;12.88;55.00;0.05;898458080_0;5.10;0.00;tripinfo_veh1132 routing_veh1132;217.00;veh1132;1;3836.99;1.09;0.00;55.66;veh_passenger;;0;0.00
273.00;318106704#0_0;43.19;12.35;8.00;0.82;1370507916#2_1;5.10;0.00;tripinfo_veh148 routing_veh148;265.00;veh148;1;4986.41;0.97;0.00;32.20;veh_passenger;;0;0.00
274.00;-902926785#0_0;14.77;13.04;3.00;0.14;-1008370364#1_0;5.10;13.47;tripinfo_veh59 routing_veh59;271.00;veh59;1;3789.28;0.97;0.00;28.39;veh_passenger;;0;0.00
274.00;1219040334_0;62.16;13.62;41.00;0.71;1043107774#1_0;5.10;0.00;tripinfo_veh830 routing_veh830;233.00;veh830;1;2970.27;0.99;0.00;31.00;veh_passenger;;0;0.00
275.00;132070872_0;108.58;12.65;30.00;0.14;1214501930_0;5.10;13.86;tripinfo_veh615 routing_veh615;245.00;veh615;1;4052.43;1.00;0.00;59.35;veh_passenger;;0;0.00
276.00;1050019353#1_0;53.36;11.62;14.00;0.84;1091270256#1_0;5.10;0.00;tripinfo_veh271 routing_veh271;262.00;veh271;1;3707.46;0.87;0.00;51.57;veh_passenger;;1;8.00
276.00;-1088091731#1_0;16.93;9.48;176.00;0.02;-1383732529_0;5.10;12.29;tripinfo_veh3625 routing_veh3625;100.00;veh3625;1;1083.67;1.05;0.00;28.60;veh_passenger;;1;1.00
277.00;-355393319#4_0;19.53;13.72;15.00;0.73;1085269951#0_0;5.10;0.00;tripinfo_veh294 routing_veh294;262.00;veh294;1;5649.69;1.05;0.00;39.31;veh_passenger;;0;0.00
277.00;1383958616_0;41.20;10.98;41.00;0.80;-898458082#1_0;5.10;11.21;tripinfo_veh828 routing_veh828;236.00;veh828;1;4013.92;0.81;0.00;29.74;veh_passenger;;0;0.00
278.00;26209723#10_0;199.91;27.78;9.00;0.21;-1358531912#0_0;5.10;0.00;tripinfo_veh181 routing_veh181;269.00;veh181;1;5194.25;1.03;0.00;55.70;veh_passenger;;1;3.00
278.00;1084005681#1_0;80.65;14.72;50.00;0.63;-1042245467#1_0;5.10;15.29;tripinfo_veh1017 routing_veh1017;228.00;veh1017;1;4774.44;1.10;0.00;42.75;veh_passenger;;0;0.00
278.00;1049115406#1_0;36.89;14.79;79.00;0.45;1057796817#0_0;5.10;0.00;tripinfo_veh1618 routing_veh1618;199.00;veh1618;1;3245.44;1.07;0.00;54.74;veh_passenger;;1;5.00
278.00;-380543970#0_0;110.97;15.68;132.00;0.05;1049702713#0_0;5.10;0.00;tripinfo_veh2718 routing_veh2718;146.00;veh2718;1;2122.12;1.18;0.00;33.10;veh_passenger;;0;0.00
278.00;354298489_0;141.77;12.84;152.00;1.17;1209159763#4_0;5.10;0.00;tripinfo_veh3107 routing_veh3107;126.00;veh3107;1;1982.16;0.98;0.00;22.73;veh_passenger;;0;0.00
279.00;26299204#0_0;5.60;9.94;47.00;0.01;-232973375#4_0;5.10;0.00;tripinfo_veh968 routing_veh968;232.00;veh968;1;3350.96;0.99;0.00;72.21;veh_passenger;;1;11.00
280.00;355210803#4_0;27.63;11.08;80.00;0.14;1042241321#0_0;5.10;0.00;tripinfo_veh1645 routing_veh1645;200.00;veh1645;1;3117.02;1.10;0.00;46.00;veh_passenger;;0;0.00
281.00;321397529#3_0;94.03;11.49;109.00;0.84;-1391801289_0;5.10;0.00;tripinfo_veh2228 routing_veh2228;172.00;veh2228;1;1824.47;0.85;0.00;20.51;veh_passenger;;0;0.00
282.00;-1219041100#0_0;59.25;12.75;4.00;0.07;-1212723859_0;5.10;13.86;tripinfo_veh81 routing_veh81;278.00;veh81;1;3866.89;1.00;0.00;47.71;veh_passenger;;0;0.00
283.00;1071872422_0;85.04;14.68;187.00;0.58;1071872403_0;5.10;15.22;tripinfo_veh3840 routing_veh3840;96.00;veh3840;1;984.31;1.10;0.00;29.86;veh_passenger;;1;3.00
284.00;232973379_0;50.18;12.03;198.00;0.17;-1047459117_0;5.10;0.00;tripinfo_veh4075 routing_veh4075;86.00;veh4075;1;1064.91;0.89;0.00;15.54;veh_passenger;;0;0.00
285.00;-355214593_0;245.49;12.28;58.00;0.28;-1226409984_0;5.10;13.54;tripinfo_veh1189 routing_veh1189;227.00;veh1189;1;3459.79;0.97;0.00;26.14;veh_passenger;;1;1.00
287.00;-231770259#7_0;47.88;11.45;111.00;0.46;1046482178#1_0;5.10;0.00;tripinfo_veh2277 routing_veh2277;176.00;veh2277;1;2073.81;0.85;0.00;45.27;veh_passenger;;2;20.00
288.00;54531638#2_1;113.10;23.79;91.00;0.90;-924074198#1_0;5.10;0.00;tripinfo_veh1856 routing_veh1856;197.00;veh1856;1;3863.69;0.99;0.00;43.47;veh_passenger;;0;0.00
290.00;158306194#0_0;48.53;23.76;132.00;0.00;-1088731606_0;5.10;13.56;tripinfo_veh2719 routing_veh2719;158.00;veh2719;1;2040.90;0.98;0.00;29.79;veh_passenger;;0;0.00
290.00;1383748639_0;66.84;10.52;176.00;0.80;1071867066_0;5.10;11.50;tripinfo_veh3609 routing_veh3609;114.00;veh3609;1;1151.60;0.83;0.00;14.12;veh_passenger;;0;0.00
291.00;155831668#1_0;87.76;17.65;24.00;0.07;-1042419272_0;5.10;15.71;tripinfo_veh493 routing_veh493;267.00;veh493;1;5364.52;1.13;0.00;89.23;veh_passenger;;1;23.00
291.00;1389987119_0;82.22;16.74;78.00;0.86;-1219040334_0;5.10;17.02;tripinfo_veh1589 routing_veh1589;213.00;veh1589;1;4019.53;1.23;0.00;49.15;veh_passenger;;0;0.00
293.00;-1118004223#1_0;104.44;14.00;28.00;0.23;355212036#19_0;5.10;0.00;tripinfo_veh572 routing_veh572;265.00;veh572;1;5490.67;1.06;0.00;53.53;veh_passenger;;1;2.00
293.00;427760260_0;62.52;13.64;67.00;0.10;-1213593825_0;5.10;14.44;tripinfo_veh1378 routing_veh1378;226.00;veh1378;1;3631.26;1.04;0.00;42.19;veh_passenger;;0;0.00
293.00;1390936079#1_0;81.79;15.94;162.00;0.87;-1391751172#0_0;5.10;0.00;tripinfo_veh3319 routing_veh3319;131.00;veh3319;1;2233.21;1.20;0.00;41.69;veh_passenger;;1;1.00
295.00;156032741#20_0;38.11;24.23;131.00;0.75;-132070868#4_0;5.10;0.00;tripinfo_veh2683 routing_veh2683;164.00;veh2683;1;3351.14;1.14;0.00;27.41;veh_passenger;;0;0.00
296.00;-44770393#20_1;181.02;26.51;199.00;7.39;-44770393#14_1;5.10;0.00;tripinfo_veh3947 routing_veh3947;97.00;veh3947;1;1836.39;0.99;0.00;26.95;veh_passenger;;0;0.00
297.00;-158370288#45_0;20.82;22.66;159.00;0.59;-902920453_0;5.10;14.76;tripinfo_veh3263 routing_veh3263;138.00;veh3263;1;1179.75;1.06;0.00;71.38;veh_passenger;;3;45.00
299.00;-329510608#0_0;28.85;14.70;93.00;0.76;-1046101251_0;5.10;14.98;tripinfo_veh1900 routing_veh1900;206.00;veh1900;1;4283.66;1.08;0.00;34.52;veh_passenger;;0;0.00
300.00;172366590#5_0;78.40;24.49;97.00;0.64;229907580#2_0;5.10;0.00;tripinfo_veh1985 routing_veh1985;203.00;veh1985;1;3071.44;0.93;0.00;44.53;veh_passenger;;1;9.00
