tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1806.00;26514954#0_0;199.95;22.89;1618.00;0.97;1087191180_0;5.10;14.35;tripinfo_veh33309 routing_veh33309;188.00;veh33309;1;2198.49;1.05;0.00;50.65;veh_passenger;;2;3.00
1807.00;1380681292_0;147.68;13.73;253.00;0.27;-1044570812#1_0;5.10;0.00;tripinfo_veh5206 routing_veh5206;1554.00;veh5206;1;15948.83;1.03;0.00;978.01;veh_passenger;;18;370.00
1807.00;-158354653#8_0;152.75;23.58;604.00;0.81;-1383686359_0;5.10;0.00;tripinfo_veh12425 routing_veh12425;1203.00;veh12425;1;13696.99;1.01;0.00;690.25;veh_passenger;;12;519.00
1808.00;-44770274#8_1;696.03;26.82;218.00;0.17;-1051010636_0;5.10;14.02;tripinfo_veh4487 routing_veh4487;1590.00;veh4487;1;16513.32;1.01;0.00;911.03;veh_passenger;;15;316.00
1809.00;-690917726#7_0;28.76;22.14;868.00;0.38;-988553249_0;5.10;14.01;tripinfo_veh17872 routing_veh17872;941.00;veh17872;1;13178.39;1.01;0.00;170.41;veh_passenger;;2;67.00
1809.00;1368744193_0;36.23;12.85;927.00;0.93;-132070850#2_0;5.10;0.00;tripinfo_veh19076 routing_veh19076;882.00;veh19076;1;6353.92;1.02;0.00;593.67;veh_passenger;;10;386.00
1809.00;221852951#1_0;343.73;28.09;1424.00;0.13;-1008370364#1_0;5.10;14.39;tripinfo_veh29330 routing_veh29330;385.00;veh29330;1;5472.00;1.04;0.00;39.24;veh_passenger;;1;3.00
1810.00;325440938#4_0;41.58;11.93;1175.00;0.03;-1225889359#1_0;5.10;12.95;tripinfo_veh24203 routing_veh24203;635.00;veh24203;1;7797.50;0.93;0.00;227.61;veh_passenger;;4;75.00
1810.00;1385764579_0;60.66;13.57;1702.00;0.11;-1382266615_0;5.10;14.33;tripinfo_veh35057 routing_veh35057;108.00;veh35057;1;1727.93;1.03;0.00;20.18;veh_passenger;;0;0.00
1811.00;-1046478129#2_0;0.12;12.24;1460.00;0.26;1043565882#1_0;5.10;0.00;tripinfo_veh30069 routing_veh30069;351.00;veh30069;1;5684.26;0.95;0.00;113.10;veh_passenger;;2;68.00
1812.00;-172364987#23_0;416.07;28.90;761.00;0.71;-1374401648_0;5.10;14.97;tripinfo_veh15661 routing_veh15661;1051.00;veh15661;1;13292.07;1.08;0.00;493.02;veh_passenger;;9;274.00
1812.00;1266170524#2_0;187.59;13.78;775.00;0.49;-1381084645_0;5.10;0.00;tripinfo_veh15954 routing_veh15954;1037.00;veh15954;1;14858.38;1.03;0.00;172.81;veh_passenger;;2;9.00
1812.00;1049118149_0;254.76;13.30;874.00;0.79;-1047086885#0_0;5.10;0.00;tripinfo_veh17987 routing_veh17987;938.00;veh17987;1;6364.52;0.97;0.00;584.24;veh_passenger;;10;406.00
1812.00;-156020180#5_0;72.94;20.32;1423.00;0.69;-924069510#0_0;5.10;0.00;tripinfo_veh29298 routing_veh29298;389.00;veh29298;1;3874.09;0.94;0.00;157.88;veh_passenger;;5;23.00
1812.00;902926796_0;87.02;13.25;1589.00;0.22;-1001595481_0;5.10;14.40;tripinfo_veh32727 routing_veh32727;223.00;veh32727;1;2487.96;1.04;0.00;60.44;veh_passenger;;1;28.00
1813.00;1052654321#2_0;68.10;13.96;387.00;0.23;-1054498521#1_0;5.10;0.00;tripinfo_veh7967 routing_veh7967;1426.00;veh7967;1;16344.95;1.06;0.00;769.81;veh_passenger;;10;597.00
1813.00;158315143#7_0;145.00;6.25;1360.00;0.46;1387191273#0_0;5.10;0.00;tripinfo_veh28005 routing_veh28005;453.00;veh28005;1;6577.03;1.07;0.00;168.77;veh_passenger;;4;97.00
